NUTS Region;Euro per inhabitant;Euro per inhabitant in percentage of the EU27 (from 2020) average;Million euro;Million purchasing power standards (PPS, EU27 from 2020);Million units of national currency;Purchasing power standard (PPS, EU27 from 2020), per inhabitant;Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average
Algarve;18423.076923076922;67.84615384615384;8051.043846153847;9720.978461538461;8051.043846153847;22246.153846153848;82.15384615384616
Alsace;30069.23076923077;111.6923076923077;56542.020769230774;50745.52692307692;56542.020769230774;26969.23076923077;100.07692307692308
Arnsberg;31484.615384615383;116.23076923076923;113107.25307692308;104032.78461538462;113107.25307692308;28953.846153846152;106.84615384615384
Attiki;22430.76923076923;83.92307692307692;85991.86307692308;100172.58846153846;85931.4823076923;26138.46153846154;97.61538461538461
Berlin;36053.846153846156;132.6153846153846;126428.35615384615;116194.58461538462;126428.35615384615;33146.153846153844;122.0
Bratislavský kraj;33046.153846153844;119.3076923076923;21299.698461538464;29937.654615384618;21718.546153846153;46623.07692307692;171.15384615384616
Braunschweig;41900.0;153.76923076923077;66811.22846153846;61436.47307692308;66811.22846153846;38538.46153846154;141.3846153846154
Bremen;44623.07692307692;165.30769230769232;29838.445384615385;27449.053076923075;29838.445384615385;41053.846153846156;152.30769230769232
Bucuresti - Ilfov;18715.384615384617;66.38461538461539;43019.41923076923;84444.43461538461;194904.87615384615;36769.230769230766;131.46153846153845
Budapest;23992.30769230769;87.15384615384616;41775.12;67705.5476923077;12998025.845384616;38876.92307692308;141.92307692307693
Burgenland (AT);27000.0;99.3076923076923;7816.406923076924;6988.74076923077;7816.406923076924;24153.846153846152;89.0
Canarias;19100.0;71.53846153846153;40166.76076923077;43074.377692307695;40166.76076923077;20500.0;76.61538461538461
Cantabria;21361.53846153846;79.15384615384616;12382.56076923077;13275.184615384615;12382.56076923077;22907.69230769231;85.07692307692308
Chemnitz;25184.615384615383;92.46153846153847;37099.153846153844;34123.52384615385;37099.153846153844;23161.53846153846;85.0
Ciudad de Ceuta;19007.69230769231;70.84615384615384;1565.8038461538463;1678.8453846153848;1565.8038461538463;20400.0;75.92307692307692
Ciudad de Melilla;17600.0;65.61538461538461;1425.4184615384615;1528.3884615384616;1425.4184615384615;18861.53846153846;70.38461538461539
Corse;25323.076923076922;93.6923076923077;8285.123076923077;7438.448846153846;8285.123076923077;22715.384615384617;83.84615384615384
Cyprus;22538.46153846154;83.38461538461539;19104.53923076923;20886.220769230767;19071.725384615384;24646.153846153848;91.0
Darmstadt;47646.153846153844;176.84615384615384;185301.8676923077;170420.96538461538;185301.8676923077;43838.46153846154;162.76923076923077
Detmold;34353.846153846156;126.6923076923077;70309.35538461538;64654.124615384615;70309.35538461538;31600.0;116.3076923076923
Drenthe;28569.23076923077;105.92307692307692;13996.379230769231;12342.854615384615;13996.379230769231;25176.923076923078;93.61538461538461
Dresden;27584.615384615383;101.15384615384616;44229.689999999995;40674.21923076923;44229.689999999995;25376.923076923078;93.07692307692308
Dytiki Makedonia;15884.615384615385;59.53846153846154;4379.32076923077;5093.590769230768;4376.264615384615;18500.0;69.23076923076923
Flevoland;30446.153846153848;112.61538461538461;12247.523076923077;10783.55076923077;12247.523076923077;26846.153846153848;99.46153846153847
Freiburg;34846.153846153844;128.69230769230768;77131.05692307692;70930.39384615385;77131.05692307692;32053.846153846152;118.38461538461539
Friesland (NL);28584.615384615383;105.38461538461539;18484.637692307693;16291.925384615384;18484.637692307693;25192.30769230769;93.23076923076923
Friuli-Venezia Giulia;29438.46153846154;109.46153846153847;35664.11076923077;35385.36692307692;35664.11076923077;29207.69230769231;108.61538461538461
Gelderland;34192.307692307695;126.0;69727.92923076924;61425.0;69727.92923076924;30153.846153846152;111.53846153846153
Gießen;31207.69230769231;115.3076923076923;32475.903076923078;29864.36076923077;32475.903076923078;28715.384615384617;105.92307692307692
Grad Zagreb;20276.923076923078;73.53846153846153;15648.813846153847;23937.043846153847;15575.755384615386;30984.615384615383;112.6923076923077
Groningen;41676.92307692308;155.53846153846155;24253.34153846154;21421.487692307695;24253.34153846154;36830.769230769234;137.69230769230768
Guadeloupe;21507.69230769231;79.6923076923077;8752.73;7853.1484615384625;8752.73;19292.30769230769;71.38461538461539
Hamburg;59861.53846153846;222.07692307692307;106570.04461538463;98010.44615384616;106570.04461538463;55084.61538461538;204.30769230769232
Hannover;34915.38461538462;129.0;74326.99153846155;68357.70461538462;74326.99153846155;32107.69230769231;118.76923076923077
Helsinki-Uusimaa;50476.92307692308;186.69230769230768;80999.16923076923;65048.92307692308;80999.16923076923;40576.92307692308;150.46153846153845
Hovedstaden;61046.153846153844;224.6153846153846;108371.29384615386;79786.33846153846;807441.3;44915.38461538462;165.0
Illes Balears;24607.69230769231;91.76923076923077;27484.345384615382;29476.746153846154;27484.345384615382;26423.076923076922;98.61538461538461
Ionia Nisia;15376.923076923076;58.0;3167.9930769230773;3691.5676923076926;3165.4646153846156;17938.46153846154;67.6923076923077
Ipeiros;11938.461538461539;44.84615384615385;4036.58;4705.256923076923;4033.383076923077;13915.384615384615;52.23076923076923
Karlsruhe;40438.46153846154;149.3846153846154;110946.45692307691;102041.50538461539;110946.45692307691;37192.307692307695;137.3846153846154
Kassel;33023.07692307692;121.76923076923077;40194.72538461538;36968.334615384614;40194.72538461538;30369.23076923077;112.15384615384616
Koblenz;30138.46153846154;111.23076923076923;45003.13846153847;41381.765384615384;45003.13846153847;27723.076923076922;102.15384615384616
Kriti;14161.538461538461;53.30769230769231;8857.413846153846;10327.672307692306;8850.918461538462;16500.0;62.15384615384615
Kypros;22538.46153846154;83.38461538461539;19104.53923076923;20886.220769230767;19071.725384615384;24646.153846153848;91.0
Kärnten;33161.53846153846;122.0;18554.636923076923;16596.05076923077;18554.636923076923;29661.53846153846;109.46153846153847
Köln;38507.692307692305;142.46153846153845;168977.72461538462;155400.67384615383;168977.72461538462;35407.692307692305;131.0
Közép-Magyarország;17961.53846153846;65.38461538461539;53628.662307692306;86894.66;16692281.142307691;29107.69230769231;106.46153846153847
La Rioja;24930.76923076923;92.53846153846153;7771.829230769231;8332.166923076922;7771.829230769231;26723.076923076922;99.07692307692308
La Réunion;20053.846153846152;74.15384615384616;16901.73769230769;15174.271538461539;16901.73769230769;18015.384615384617;66.46153846153847
Leipzig;29107.69230769231;106.84615384615384;29569.153076923078;27187.61923076923;29569.153076923078;26776.923076923078;98.3076923076923
Liguria;29761.53846153846;110.76923076923077;46350.725384615376;45973.087692307694;46350.725384615376;29523.076923076922;109.84615384615384
Limburg (NL);35161.53846153846;129.46153846153845;39403.37846153846;34717.24461538462;39403.37846153846;30969.23076923077;114.38461538461539
Luxembourg;90361.53846153847;331.38461538461536;51628.593076923076;41512.04;51628.593076923076;72892.30769230769;268.2307692307692
Malta;21279.48717948718;77.2051282051282;9850.421282051282;11871.850256410256;9831.072051282052;25776.923076923078;94.17948717948718
Marche;25930.76923076923;96.53846153846153;39493.35;39175.06615384615;39493.35;25707.69230769231;95.76923076923077
Martinique;21869.23076923077;80.6923076923077;8229.960769230769;7383.91;8229.960769230769;19630.76923076923;72.15384615384616
Mayotte;8053.846153846154;29.384615384615383;1958.0076923076922;1761.8923076923077;1958.0076923076922;7223.076923076923;26.076923076923077
Mittelfranken;40307.692307692305;148.23076923076923;69852.13615384615;64231.68076923077;69852.13615384615;37076.92307692308;136.3846153846154
Molise;20238.46153846154;75.6923076923077;6251.196153846154;6200.422307692308;6251.196153846154;20076.923076923078;74.92307692307692
Moravskoslezsko;13176.923076923076;47.92307692307692;16034.962307692309;23455.992307692308;427146.2838461539;19261.53846153846;70.46153846153847
Münster;30376.923076923078;112.15384615384616;79129.79000000001;72774.67461538462;79129.79000000001;27953.846153846152;103.0
Noord-Brabant;40792.307692307695;150.15384615384616;102060.14307692306;89884.83230769231;102060.14307692306;35946.153846153844;132.69230769230768
Noord-Holland;52623.07692307692;193.84615384615384;146071.66999999998;128613.20615384614;146071.66999999998;46369.230769230766;171.46153846153845
Noord-Nederland;33023.07692307692;122.53846153846153;56734.27538461538;50056.19846153846;56734.27538461538;29123.076923076922;108.46153846153847
Nordjylland;39876.92307692308;147.53846153846155;23315.776923076923;17151.18076923077;173721.64692307694;29338.46153846154;108.3076923076923
Nordwestschweiz;76520.0;269.8;83410.84285714287;54371.56285714286;95858.47;49460.0;174.6
Notio Aigaio;17976.923076923078;67.92307692307692;6034.101538461539;7035.549999999999;6029.581538461538;20961.53846153846;78.92307692307692
Oberfranken;33746.153846153844;124.0;36000.07;33105.25;36000.07;31030.76923076923;114.0
Oberpfalz;37669.230769230766;138.30769230769232;41180.78076923077;37869.77923076923;41180.78076923077;34638.46153846154;127.3076923076923
Opolskie;8738.461538461539;31.53846153846154;8718.825384615384;14769.93076923077;37130.24846153846;14769.23076923077;53.76923076923077
Overijssel;33684.61538461538;123.92307692307692;38516.344615384616;33925.17230769231;38516.344615384616;29676.923076923078;109.76923076923077
País Vasco;29615.384615384617;109.46153846153847;64156.343076923076;68788.75461538462;64156.343076923076;31761.53846153846;117.61538461538461
Pest;9523.076923076924;34.76923076923077;11853.539999999999;19189.113846153847;3694255.296153846;15430.76923076923;56.53846153846154
Praha;36130.769230769234;130.6153846153846;46144.3;67176.61615384616;1225469.5984615383;52746.153846153844;192.3846153846154
Prov. Antwerpen;44108.333333333336;158.33333333333334;80465.20583333333;72020.17583333333;80465.20583333333;39491.666666666664;141.75
Prov. Brabant wallon;43791.666666666664;156.33333333333334;17376.98;15546.369166666665;17376.98;39191.666666666664;139.91666666666666
Prov. Hainaut;23658.333333333332;85.08333333333333;31611.420833333334;28298.6525;31611.420833333334;21175.0;76.16666666666667
Prov. Limburg (BE);30391.666666666668;109.08333333333333;26263.4475;23507.08083333333;26263.4475;27200.0;97.66666666666667
Prov. Liège;26691.666666666668;95.66666666666667;29306.466666666664;26233.391666666666;29306.466666666664;23891.666666666668;85.83333333333333
Prov. Luxembourg (BE);23291.666666666668;83.91666666666667;6557.333333333333;5870.155833333333;6557.333333333333;20858.333333333332;75.16666666666667
Prov. Namur;25483.333333333332;91.66666666666667;12479.375;11170.571666666665;12479.375;22816.666666666668;81.91666666666667
Prov. Oost-Vlaanderen;34041.666666666664;122.16666666666667;50707.13416666666;45381.86083333333;50707.13416666666;30500.0;109.5
Prov. Vlaams-Brabant;39725.0;142.66666666666666;44634.31916666666;39943.065833333334;44634.31916666666;35550.0;127.66666666666667
Prov. West-Vlaanderen;36100.0;129.5;42800.698333333334;38308.77416666667;42800.698333333334;32325.0;115.91666666666667
Provincia Autonoma di Bolzano/Bozen;42815.38461538462;158.46153846153845;22073.050000000003;21907.96;22073.050000000003;42484.61538461538;157.15384615384616
Provincia Autonoma di Trento;36107.692307692305;134.46153846153845;19187.553846153845;19038.826923076922;19187.553846153845;35830.769230769234;133.3846153846154
Região Autónoma da Madeira (PT);16900.0;62.46153846153846;4341.674615384615;5246.142307692308;4341.674615384615;20407.69230769231;75.61538461538461
Região Autónoma dos Açores (PT);15600.0;57.38461538461539;3816.130769230769;4610.093076923077;3816.130769230769;18838.46153846154;69.53846153846153
Rheinhessen-Pfalz;34507.692307692305;127.3076923076923;70005.55769230769;64377.38384615385;70005.55769230769;31723.076923076922;117.0
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;66366.66666666667;239.33333333333334;78207.11666666667;70006.03916666667;78207.11666666667;59441.666666666664;214.41666666666666
Région lémanique;69460.0;245.2;107419.14857142858;70034.9842857143;123508.61857142857;44920.0;158.6
Saarland;32853.846153846156;121.61538461538461;32828.38923076923;30206.830769230768;32828.38923076923;30215.384615384617;111.92307692307692
Salzburg;45984.61538461538;169.23076923076923;24977.6;22333.483846153846;24977.6;41138.46153846154;151.6153846153846
Schwaben;35769.230769230766;131.84615384615384;65860.78230769231;60568.939230769225;65860.78230769231;32892.307692307695;121.3076923076923
Severozápad;11661.538461538461;42.69230769230769;13069.756923076922;19174.976923076923;348952.1561538462;17076.923076923078;62.84615384615385
Sjeverna Hrvatska;8615.384615384615;31.384615384615383;7163.0630769230775;10970.261538461538;7131.493846153846;13176.923076923076;48.07692307692308
Sjælland;32792.307692307695;121.15384615384616;27072.030000000002;19917.01153846154;201708.7969230769;24123.076923076922;88.92307692307692
Sostines regionas;18692.30769230769;66.61538461538461;15189.818461538463;23914.47923076923;15212.53;29415.384615384617;105.61538461538461
Stockholm;61661.53846153846;228.53846153846155;135826.45461538463;104223.64230769231;1302229.3030769231;47315.38461538462;175.23076923076923
Strední Morava;13115.384615384615;47.38461538461539;15995.603076923077;23367.28846153846;425915.02999999997;19161.53846153846;69.92307692307692
Ticino;75160.0;265.4;25480.444285714282;16608.444285714286;29285.562857142857;48600.0;171.4
Trier;27746.153846153848;102.46153846153847;14600.877692307693;13428.725384615384;14600.877692307693;25530.76923076923;94.23076923076923
Tübingen;39076.92307692308;143.76923076923077;70978.99230769232;65269.99461538461;70978.99230769232;35946.153846153844;132.23076923076923
Umbria;24707.69230769231;92.46153846153847;21609.80923076923;21435.19384615385;21609.80923076923;24523.076923076922;91.6923076923077
Unterfranken;36500.0;134.46153846153845;47853.00615384615;44015.18307692308;47853.00615384615;33569.230769230766;123.53846153846153
Utrecht;50769.230769230766;187.6153846153846;64296.224615384606;56627.46307692308;64296.224615384606;44761.53846153846;165.92307692307693
Valle d'Aosta/Vallée d'Aoste;36438.46153846154;135.92307692307693;4583.456923076923;4544.834615384615;4583.456923076923;36146.153846153844;134.84615384615384
Vorarlberg;42100.0;154.76923076923077;16125.837692307694;14414.384615384615;16125.837692307694;37653.846153846156;138.76923076923077
Voreio Aigaio;12276.923076923076;46.38461538461539;2536.193076923077;2954.179230769231;2534.4069230769232;14253.846153846154;53.92307692307692
Warszawski stoleczny;23761.53846153846;86.0;70994.52076923077;120104.6853846154;302948.14;40223.07692307692;146.0
Wien;47730.769230769234;177.23076923076923;86098.57692307692;77015.46615384615;86098.57692307692;42730.769230769234;158.92307692307693
Zahodna Slovenija;22892.30769230769;83.6923076923077;22193.86230769231;26958.681538461537;22069.34230769231;27838.46153846154;102.3076923076923
Zeeland;32292.30769230769;118.76923076923077;12327.859230769232;10858.925384615384;12327.859230769232;28446.153846153848;104.92307692307692
Zentralschweiz;70140.0;247.4;53856.44;35114.32;61926.04571428571;45360.0;159.8
Zuid-Holland;40900.0;151.46153846153845;148206.80230769233;130635.76692307692;148206.80230769233;36084.61538461538;134.0
Zuid-Nederland;39053.846153846156;143.69230769230768;141463.61;124602.15307692307;141463.61;34400.0;127.0
Zürich;88760.0;313.2;126672.29571428572;82595.03142857143;145664.2814285714;57420.0;202.6
Área Metropolitana de Lisboa;23653.846153846152;87.84615384615384;66524.07769230769;80393.61461538462;66524.07769230769;28569.23076923077;106.3076923076923
Åland;43769.230769230766;162.92307692307693;1260.3907692307694;1012.7607692307691;1260.3907692307694;35207.692307692305;131.3846153846154
