NUTS Region;Acute myocardial infarction including subsequent myocardial infarction;All causes of death (A00-Y89) excluding S00-T98;Asthma and status asthmaticus;Cerebrovascular diseases;Chronic lower respiratory diseases;Diabetes mellitus;Malignant melanoma of skin;Malignant neoplasm of breast;Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal;Malignant neoplasm of trachea, bronchus and lung;Mental and behavioural disorders (F00-F99);Other ischaemic heart diseases;Other mental and behavioural disorders (remainder of F00-F99)
Algarve;93.341;1902.7796666666666;2.631333333333333;176.89466666666667;37.64666666666667;58.67966666666667;5.073666666666667;27.421;64.25066666666666;68.66466666666666;56.23466666666666;35.68866666666667;1.1916666666666667
Alsace;38.306333333333335;1617.3146666666667;2.033;98.96033333333334;35.44666666666667;37.604;4.3566666666666665;30.500999999999998;46.99333333333333;80.43566666666668;77.749;69.187;10.229333333333333
Arnsberg;91.696;2032.4323333333334;2.2786666666666666;119.684;83.845;40.440333333333335;5.779333333333333;38.169666666666664;57.06666666666667;104.199;104.83066666666667;136.50300000000001;2.5533333333333332
Attiki;107.26299999999999;1809.331;0.18733333333333332;193.17066666666668;42.794999999999995;23.932666666666666;3.64;34.584666666666664;44.36;107.30966666666667;17.35233333333333;105.84966666666666;1.3056666666666668
Berlin;112.71833333333332;1846.9693333333335;1.508;100.29933333333334;83.97633333333333;58.48733333333334;5.0023333333333335;35.778;47.267;101.383;75.95866666666666;130.07033333333334;3.258666666666667
Bratislavský kraj;92.05066666666667;2242.4793333333337;0.9266666666666666;167.631;27.215333333333334;28.100666666666665;9.637666666666666;45.10033333333333;84.08300000000001;82.11166666666666;25.29733333333333;599.052;0.6308333333333334
Braunschweig;103.03866666666666;1948.2673333333335;2.0966666666666667;123.96633333333334;77.76766666666667;51.68833333333334;5.221666666666667;34.414;51.495;88.66433333333333;106.44699999999999;208.879;4.3053333333333335
Bremen;106.14166666666667;1917.908;1.7446666666666666;111.43866666666666;76.15466666666666;31.81;8.798;38.952666666666666;45.999;107.32966666666667;87.84466666666667;116.09200000000001;7.0343333333333335
Bucuresti - Ilfov;265.31466666666665;2555.9656666666665;0.6266666666666667;502.90833333333336;29.738999999999997;10.756666666666666;2.51;42.17733333333333;71.72433333333333;105.872;0.596;284.4456666666667;0.20933333333333334
Budapest;112.69533333333334;2280.049666666667;0.9386666666666666;195.68166666666667;110.18866666666666;39.40833333333333;5.7459999999999996;43.854;86.55266666666667;137.02;63.36266666666666;507.21799999999996;1.968
Burgenland (AT);132.49666666666667;1913.4533333333334;1.5062499999999999;119.33733333333333;61.04366666666667;98.03333333333333;6.758666666666667;30.49233333333333;41.9;72.32366666666667;47.39933333333333;277.4893333333333;0.9322222222222223
Canarias;85.43900000000001;1621.0886666666668;3.7876666666666665;86.53866666666666;65.54333333333334;91.70533333333333;3.8433333333333333;25.064333333333334;53.336;78.40633333333334;74.11166666666666;74.096;1.7979999999999998
Cantabria;41.416333333333334;1545.0243333333333;2.945333333333333;109.249;50.834666666666664;19.065333333333335;3.3833333333333333;21.220333333333333;61.468333333333334;90.10466666666666;118.91033333333333;59.95466666666667;1.5423333333333333
Chemnitz;119.87533333333333;1967.4203333333332;1.9176666666666666;163.512;51.678666666666665;60.81166666666666;5.266333333333334;27.023666666666667;57.396;63.894666666666666;85.55300000000001;266.95300000000003;2.8713333333333333
Ciudad de Ceuta;77.09066666666668;1891.2803333333334;1.6780000000000002;126.67466666666665;57.32266666666667;81.19800000000001;4.978888888888889;28.290000000000003;41.89733333333333;84.53833333333334;64.18366666666667;100.91733333333333;4.714
Ciudad de Melilla;76.07466666666666;1930.147;6.875;129.99266666666668;60.22933333333334;92.89766666666668;5.846190476190476;29.23166666666667;56.812000000000005;87.92699999999999;52.32633333333333;86.50133333333333;5.611428571428571
Corse;44.97166666666667;1442.5819999999999;1.398888888888889;81.97433333333333;23.817999999999998;28.588;3.2093333333333334;25.209333333333333;36.08566666666666;93.30566666666667;44.44233333333333;51.07733333333333;6.204666666666666
Cyprus;82.275;1893.6746666666666;7.226333333333333;136.36866666666666;49.40566666666667;125.48466666666667;3.8316666666666666;27.366;34.242666666666665;64.86133333333333;63.785333333333334;107.54033333333334;2.1430000000000002
Darmstadt;89.33966666666667;1819.4476666666667;2.306;109.23933333333333;70.42033333333333;56.089333333333336;5.583;34.62733333333333;48.096;78.96900000000001;100.66966666666667;167.96866666666668;2.2060000000000004
Detmold;86.10666666666665;1855.7033333333334;2.5170000000000003;125.163;74.76500000000001;40.00266666666666;5.5806666666666676;34.373333333333335;53.55533333333334;82.02466666666666;89.06833333333334;139.6663333333333;2.8726666666666665
Drenthe;67.24133333333333;1847.6263333333334;1.8419999999999999;120.60866666666666;80.407;37.95333333333333;8.847000000000001;35.493;60.966;107.87466666666666;160.19633333333334;50.16366666666667;4.551333333333333
Dresden;121.23366666666666;1817.7446666666665;1.5010000000000001;135.84766666666667;55.81266666666667;48.872;4.482333333333333;26.304333333333332;47.01033333333333;60.94466666666666;87.97033333333334;190.097;2.719666666666667
Dytiki Makedonia;81.86208333333333;1748.6691666666666;0.6646666666666666;245.56083333333333;39.1675;28.82875;3.9283333333333332;27.902916666666666;42.931666666666665;89.30791666666666;27.72;70.37083333333334;2.4557142857142855
Flevoland;69.059;1833.298;2.031111111111111;115.05166666666668;92.84033333333333;47.73166666666667;8.366;30.315;57.602666666666664;114.29033333333334;122.74866666666667;56.07233333333333;3.1719999999999997
Freiburg;87.13266666666667;1771.354;2.7;130.407;58.54366666666667;54.900666666666666;5.280666666666666;34.305;48.351;63.85033333333333;106.36233333333332;130.11666666666667;5.15
Friesland (NL);73.51299999999999;1846.4936666666665;1.5576666666666665;130.627;80.70733333333334;39.465333333333334;8.305333333333333;34.343333333333334;57.571;104.18;139.221;46.715;5.152333333333333
Friuli-Venezia Giulia;70.94033333333333;1586.0703333333333;0.7706666666666666;141.53833333333333;50.07966666666667;39.41;6.3790000000000004;33.824666666666666;50.51366666666667;83.87433333333334;60.591;120.10533333333333;3.8993333333333333
Gelderland;65.17566666666667;1851.706;1.7373333333333332;128.601;89.266;36.472;7.786333333333333;32.672666666666665;59.882333333333335;108.83033333333333;161.403;48.40133333333333;5.5906666666666665
Gießen;110.11666666666666;1938.127;3.088;118.57300000000001;79.06066666666668;76.96700000000001;5.447333333333334;34.80833333333333;52.539;75.80766666666666;100.26299999999999;196.76733333333334;2.1446666666666667
Grad Zagreb;65.12666666666667;2458.733333333333;2.006666666666667;193.48;67.87666666666668;189.39666666666668;6.253333333333334;31.273333333333337;80.36333333333333;112.42;48.04999999999999;214.64;18.57
Groningen;78.90566666666668;1941.5066666666667;1.7746666666666668;122.88433333333333;94.63466666666666;42.522666666666666;8.364;32.611666666666665;60.688;125.384;167.29233333333335;52.534;4.8726666666666665
Guadeloupe;21.177407407407404;1374.0855555555554;4.225555555555555;109.67703703703704;12.386296296296296;66.33444444444444;1.4185185185185185;21.674444444444447;32.325185185185184;24.833333333333332;36.807037037037034;21.298518518518517;5.64
Hamburg;90.62033333333333;1839.5396666666668;2.5396666666666667;107.412;63.28866666666667;32.00266666666667;5.032333333333333;37.51766666666666;47.24166666666667;106.122;97.79066666666667;145.659;3.642333333333333
Hannover;102.471;1915.3303333333336;2.0526666666666666;125.21766666666667;74.29133333333333;45.919;5.816;35.40233333333333;51.469;86.76966666666667;118.78433333333334;194.76966666666667;4.577666666666667
Helsinki-Uusimaa;90.325;1730.074;2.568;152.46733333333336;51.027;15.796;7.561333333333334;28.97533333333333;40.038333333333334;77.61766666666668;94.37033333333333;214.962;4.254333333333333
Hovedstaden;43.881;1938.0866666666666;2.619333333333333;120.981;133.80533333333332;50.67466666666667;8.147666666666668;38.58866666666667;63.843333333333334;113.40866666666668;122.45966666666666;85.90166666666667;5.240333333333334
Illes Balears;51.67733333333333;1595.942;3.5313333333333334;96.42399999999999;64.17533333333333;51.528;3.862;23.447333333333333;57.47666666666667;79.422;82.13466666666666;76.37366666666667;2.6003333333333334
Ionia Nisia;77.12625;1907.2991666666667;0.8608333333333333;231.43416666666667;58.08291666666667;32.49833333333333;2.8479166666666664;26.909166666666664;36.17958333333333;100.77416666666666;19.435;59.21458333333333;1.1972222222222222
Ipeiros;63.55708333333333;1527.9170833333335;0.5346666666666666;211.80583333333334;36.64375;20.459166666666665;2.3529166666666668;23.101250000000004;25.432916666666667;90.31458333333335;14.36125;72.79833333333333;1.0404761904761906
Karlsruhe;117.29033333333334;1831.6446666666668;2.517333333333333;132.912;61.88066666666667;53.43066666666667;5.057333333333333;36.095;47.04533333333333;74.57166666666667;114.20133333333334;154.81933333333333;5.654666666666667
Kassel;98.82066666666667;1931.875;2.252666666666667;114.53733333333334;80.502;77.713;5.761;32.553000000000004;48.134;75.51066666666667;98.24033333333334;185.33100000000002;2.178
Koblenz;114.84833333333333;1963.646;1.8613333333333335;132.62566666666666;80.846;57.699666666666666;5.603666666666666;34.63;54.12033333333333;91.12766666666667;103.241;201.871;4.152666666666667
Kriti;65.33666666666666;1746.2503333333334;0.3388888888888889;175.82433333333336;62.456;24.094333333333335;3.564;26.095000000000002;42.553666666666665;105.952;14.524333333333333;71.88366666666667;1.5042857142857142
Kypros;82.275;1893.6746666666666;7.226333333333333;136.36866666666666;49.40566666666667;125.48466666666667;3.8316666666666666;27.366;34.242666666666665;64.86133333333333;63.785333333333334;107.54033333333334;2.1430000000000002
Kärnten;106.85433333333334;1771.1173333333331;1.267;129.20833333333334;65.337;70.413;6.641666666666667;27.290333333333333;39.25466666666667;76.29866666666666;38.92933333333334;177.821;0.6266666666666667
Köln;93.804;1916.893;1.9696666666666665;121.723;80.22266666666665;35.85966666666666;5.784666666666666;36.138000000000005;50.95666666666667;101.67866666666667;93.721;147.264;3.0540000000000003
Közép-Magyarország;128.127;2422.447;1.489;221.621;112.68566666666668;44.499;6.0136666666666665;41.736666666666665;89.733;137.017;68.19933333333333;545.5973333333334;2.259333333333333
La Rioja;56.434333333333335;1506.4733333333331;2.341333333333333;109.75800000000001;49.39966666666667;32.87533333333333;2.8233333333333333;19.930666666666664;63.715333333333334;70.82666666666667;79.45366666666668;54.906333333333336;2.756
La Réunion;56.802;1668.54;6.187666666666667;136.51666666666668;48.190666666666665;100.71766666666667;2.049;18.601666666666667;41.553;58.996;66.72966666666667;60.07266666666667;6.28
Leipzig;132.207;1898.7943333333335;1.764;140.05900000000003;66.47633333333333;51.715;5.036333333333333;28.025333333333332;48.527;75.42133333333332;82.704;229.75433333333334;2.155333333333333
Liechtenstein;36.688148148148144;1680.9630000000002;4.0649999999999995;81.601;39.455333333333336;13.525599999999999;7.013888888888889;27.471333333333334;33.04333333333334;57.547;29.13533333333333;127.94399999999999;6.854782608695652
Liguria;56.406;1650.826;1.1503333333333332;151.111;58.132333333333335;50.95366666666666;5.121666666666667;31.008666666666667;52.427;87.484;55.428333333333335;113.66533333333334;5.0409999999999995
Limburg (NL);71.63533333333334;1875.025666666667;1.432;130.44466666666668;89.71733333333333;32.005;6.694;31.746666666666666;57.044999999999995;119.61066666666667;170.02266666666668;50.806000000000004;3.69
Luxembourg;68.03266666666666;1723.6886666666667;2.335;111.81666666666666;74.34166666666667;33.214666666666666;5.307666666666667;35.846333333333334;49.788666666666664;85.99166666666666;99.44066666666666;76.17466666666667;5.024666666666667
Malta;196.56966666666668;1770.8380000000002;3.516;150.909;47.164;74.404;4.273333333333333;34.14233333333333;54.471999999999994;72.85533333333333;107.65666666666667;192.37533333333332;1.8796296296296295
Marche;54.660333333333334;1540.4083333333333;1.0736666666666668;143.49433333333334;54.38966666666667;43.63533333333333;4.472666666666667;25.999333333333333;49.22266666666667;72.87566666666666;57.26366666666667;141.26666666666668;2.5493333333333337
Martinique;24.731333333333332;1432.0683333333334;3.5766666666666667;115.797;9.834666666666667;67.00333333333334;1.7983333333333333;21.743;41.855000000000004;27.436666666666667;35.909;20.779333333333334;5.484333333333334
Mayotte;35.80714285714286;2522.720476190476;12.777142857142858;324.2961904761905;54.68142857142857;144.14666666666668;3.4099999999999997;18.85285714285714;9.849444444444444;21.306666666666665;42.511428571428574;20.326666666666668;4.263333333333334
Mittelfranken;113.694;1939.9633333333334;2.470666666666667;138.371;76.45733333333332;54.20333333333333;5.821;34.26166666666666;51.33533333333333;69.81633333333333;105.338;172.25366666666665;1.9813333333333332
Molise;62.52733333333334;1607.998;0.9479166666666666;160.02266666666668;60.484;60.049;4.499666666666667;21.050333333333334;43.766;57.209666666666664;39.056666666666665;162.42466666666667;3.416333333333333
Moravskoslezsko;116.47366666666667;2493.067666666667;4.188;198.29866666666666;71.85066666666667;95.42;6.323666666666667;30.519000000000002;69.44066666666666;90.02966666666666;30.826;574.277;0.9743333333333334
Münster;89.364;1942.025;2.283666666666667;117.25399999999999;83.536;37.217;5.275;38.16;56.836999999999996;101.589;99.28999999999999;135.15833333333333;2.8526666666666665
Noord-Brabant;65.05833333333334;1873.7216666666668;1.2469999999999999;130.564;90.96866666666666;33.187666666666665;7.192666666666667;31.327666666666666;60.27033333333334;121.13033333333333;167.11566666666667;46.56166666666666;4.5280000000000005
Noord-Holland;66.714;1825.4019999999998;1.4446666666666668;121.35033333333334;80.44966666666667;36.63733333333334;8.535333333333334;33.14566666666666;59.016333333333336;107.896;136.55766666666665;43.47533333333333;6.919
Noord-Nederland;73.259;1876.406;1.7186666666666666;125.03;84.95433333333334;39.992666666666665;8.493666666666666;34.12566666666667;59.56733333333333;111.955;154.636;49.61333333333334;4.862666666666667
Nordjylland;72.14033333333333;1926.761;2.0146666666666664;130.248;144.97866666666667;47.044666666666664;8.422333333333333;34.74466666666667;60.794999999999995;120.87466666666667;124.74366666666667;80.69066666666666;5.494666666666666
Nordwestschweiz;53.33133333333333;1580.7233333333331;2.094;85.66799999999999;47.30566666666667;29.06;7.153666666666667;30.481333333333332;40.18933333333334;72.041;139.41933333333333;127.887;9.233333333333333
Notio Aigaio;75.45033333333335;1777.0143333333333;1.2833333333333334;198.397;48.284;30.43566666666667;2.8316666666666666;25.708666666666666;35.059;96.61366666666666;19.964333333333332;87.69066666666666;2.263809523809524
Oberfranken;129.002;2006.4523333333334;1.8739999999999999;133.66166666666666;72.19333333333334;62.28766666666666;5.676666666666667;34.33133333333333;51.47133333333333;67.57566666666666;97.06400000000001;202.19666666666666;2.3063333333333333
Oberpfalz;115.596;1995.548;2.3616666666666664;134.08633333333333;64.39466666666667;63.84466666666666;5.235333333333333;35.163;55.81066666666667;70.71966666666667;118.28333333333333;166.40533333333332;2.594666666666667
Opolskie;58.85133333333333;2285.0179999999996;2.862;178.52266666666668;24.512;58.717;5.713666666666667;29.913;67.70066666666666;91.164;2.280333333333333;183.7036666666667;0.6316666666666667
Overijssel;62.77766666666666;1888.679;1.5663333333333334;127.21433333333333;92.537;42.29866666666667;7.5600000000000005;35.943333333333335;62.85;109.86999999999999;173.26533333333333;47.153;4.336
País Vasco;37.065333333333335;1498.96;5.841333333333334;99.16633333333333;53.32533333333333;33.705666666666666;3.8920000000000003;21.029;58.36033333333333;78.44266666666667;100.20266666666666;54.24733333333334;1.899
Pest;156.40966666666665;2684.2213333333334;2.497666666666667;270.9583333333333;116.36966666666667;53.85033333333333;6.447333333333333;38.22033333333333;94.72766666666666;135.83599999999998;77.569;618.918;2.7430000000000003
Praha;74.14133333333332;2075.2393333333334;2.287;170.48166666666665;68.79433333333333;55.050333333333334;7.498666666666667;34.95633333333333;60.48433333333333;92.75033333333334;38.394;466.4506666666667;1.0326666666666666
Prov. Antwerpen;63.919333333333334;1751.624;1.3023333333333333;127.94166666666666;71.54233333333333;22.44066666666667;5.424333333333333;31.603666666666665;44.73566666666667;99.02;116.56966666666668;49.020999999999994;4.1593333333333335
Prov. Brabant wallon;68.773;1728.3663333333332;3.0716666666666668;105.65433333333334;71.43233333333333;23.566;5.268;35.755;43.693;84.43966666666667;57.63633333333333;55.379;7.902333333333333
Prov. Hainaut;89.732;2124.1313333333333;3.087;122.46866666666666;93.40066666666667;35.38366666666666;4.206666666666667;38.477;55.839000000000006;100.97033333333334;68.94200000000001;75.86066666666667;7.644666666666667
Prov. Limburg (BE);65.969;1703.184;1.2003333333333333;114.48066666666666;80.73133333333334;21.404999999999998;4.401333333333333;27.651666666666664;40.096333333333334;106.3;95.51766666666666;50.63866666666667;4.148
Prov. Liège;84.82066666666667;2057.987;1.8299999999999998;114.97;95.666;26.947666666666667;3.3213333333333335;35.098;45.93866666666667;117.50133333333333;65.32466666666667;59.842;7.820333333333334
Prov. Luxembourg (BE);66.642;1939.9453333333333;2.5966666666666667;106.22433333333333;87.02866666666667;32.971;5.463666666666667;34.080999999999996;50.428666666666665;107.50633333333333;53.794333333333334;71.17566666666667;8.643333333333334
Prov. Namur;76.782;2027.0790000000002;2.4070000000000005;115.66799999999999;93.108;28.766666666666666;5.024333333333333;34.57266666666667;50.537333333333336;110.412;64.42766666666667;73.56099999999999;7.329
Prov. Oost-Vlaanderen;69.97666666666667;1761.854;1.1443333333333332;120.74366666666667;70.51833333333335;28.517;5.517333333333334;35.678666666666665;46.22;92.67699999999999;101.22766666666666;51.708666666666666;4.644333333333334
Prov. Vlaams-Brabant;63.733666666666664;1675.8556666666666;1.6066666666666667;112.916;64.978;25.178;4.844333333333333;32.69766666666666;45.705000000000005;84.347;102.18933333333332;53.216;5.075
Prov. West-Vlaanderen;63.35066666666667;1659.8996666666667;1.3176666666666668;113.82300000000001;62.40133333333333;24.019333333333336;5.965999999999999;34.772000000000006;43.693333333333335;84.009;86.694;54.208333333333336;4.042333333333334
Provincia Autonoma di Bolzano/Bozen;73.29333333333334;1505.6766666666667;0.9351851851851852;125.85166666666667;53.192;25.40533333333333;5.986666666666666;27.25433333333333;47.687;67.34433333333332;69.28433333333334;91.519;2.761
Provincia Autonoma di Trento;61.773;1482.5873333333334;0.7529166666666667;100.38000000000001;43.236;37.22166666666667;5.190333333333333;29.920333333333335;45.672000000000004;74.18333333333334;55.50266666666666;125.174;5.649333333333333
Região Autónoma da Madeira (PT);76.79166666666667;2442.5899999999997;2.444666666666667;236.31300000000002;65.49666666666667;113.43900000000001;5.304666666666667;35.62;53.730333333333334;62.156;63.019666666666666;61.59666666666667;2.4886666666666666
Região Autónoma dos Açores (PT);137.84366666666668;2521.309;5.914333333333333;289.62333333333333;113.796;145.08166666666665;2.9256666666666664;39.82966666666667;50.46133333333333;111.51166666666667;83.19033333333333;82.30466666666666;3.453333333333333
Rheinhessen-Pfalz;100.847;1913.4266666666667;2.5420000000000003;137.10866666666666;67.77833333333334;59.385;5.525;35.458333333333336;48.794999999999995;82.71233333333333;105.28966666666666;169.49233333333333;5.006666666666666
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;68.82466666666666;1815.9946666666665;3.287;108.36033333333333;85.015;29.791999999999998;4.193333333333333;36.98633333333333;47.66133333333333;90.47166666666666;81.11166666666666;61.765;7.530333333333333
Région lémanique;38.792;1495.8;1.5563333333333333;80.95366666666668;48.46066666666666;21.436;5.433000000000001;28.834666666666667;38.60166666666667;74.61266666666667;100.194;75.514;9.987
Saarland;108.29633333333332;2046.8466666666668;2.3953333333333333;142.74099999999999;81.23333333333333;82.557;5.289;40.505;53.88433333333333;103.20933333333333;100.00333333333333;229.16733333333332;4.544
Salzburg;74.27933333333334;1656.6633333333334;1.4789999999999999;122.30233333333334;63.23800000000001;48.416000000000004;7.531000000000001;28.730333333333338;36.85733333333334;64.07733333333333;57.266;173.60933333333332;0.9099999999999999
Schwaben;102.91633333333333;1823.8853333333332;2.2079999999999997;131.782;58.878;51.75333333333333;6.076333333333333;33.092666666666666;47.05;62.47;106.62533333333333;149.49566666666666;2.552333333333333
Severozápad;111.31066666666668;2628.7453333333333;2.35;295.16866666666664;78.83633333333334;102.64066666666668;6.386;32.535999999999994;76.80933333333334;124.11766666666666;38.666333333333334;565.0120000000001;1.0356666666666667
Sjeverna Hrvatska;142.42666666666668;2679.8733333333334;6.133333333333333;268.37666666666667;72.73333333333333;194.78;7.73;28.003333333333334;85.90666666666668;99.24333333333334;55.916666666666664;192.17999999999998;10.92
Sjælland;57.79566666666666;2012.3186666666666;2.3736666666666664;142.469;137.06266666666667;53.78966666666667;8.533;37.42;72.07400000000001;132.344;132.80233333333334;98.13833333333334;6.514666666666667
Sostines regionas;76.41533333333334;2474.0063333333333;2.0203333333333333;451.3376666666666;29.41433333333333;24.90533333333333;5.4303333333333335;28.609333333333332;57.7;64.86133333333333;16.602666666666668;811.1569999999999;0.6493333333333333
Stockholm;83.34266666666666;1646.5233333333335;1.553;107.35033333333332;60.04866666666667;29.42733333333333;7.783666666666666;25.91166666666667;44.13;72.009;113.10600000000001;90.76866666666666;3.4266666666666667
Strední Morava;92.18466666666667;2311.826666666667;2.6823333333333332;220.46266666666668;56.63133333333334;72.408;7.3406666666666665;27.113;65.20833333333333;72.501;29.130666666666666;521.2413333333333;1.0133333333333332
Ticino;52.17933333333334;1439.1556666666665;1.7683333333333335;87.859;45.403666666666666;16.950666666666667;6.863666666666666;30.790666666666667;38.16366666666667;81.04066666666667;90.98533333333333;115.78066666666668;13.820666666666666
Trier;104.166;1898.7396666666668;1.7226666666666666;131.19866666666667;78.40566666666668;59.318333333333335;5.692333333333334;38.54966666666667;51.10733333333334;91.27766666666666;100.867;184.14600000000002;4.054333333333334
Tübingen;98.69033333333333;1757.5676666666666;2.888;130.855;58.330000000000005;54.83166666666667;5.113666666666666;32.211333333333336;44.31166666666666;60.39633333333333;96.06966666666668;132.76266666666666;5.231
Umbria;58.91866666666667;1531.9216666666666;0.7496666666666666;151.25799999999998;57.949;45.56366666666667;4.5616666666666665;25.23933333333333;46.142;74.43599999999999;51.158;145.49866666666668;2.4183333333333334
Unterfranken;99.716;1864.8770000000002;2.333666666666667;128.63433333333333;60.00933333333333;60.047333333333334;5.356;32.50233333333333;48.18033333333334;61.879333333333335;99.89533333333334;169.14133333333334;2.8426666666666667
Utrecht;66.049;1783.8743333333334;1.4936666666666667;115.11333333333333;81.62033333333333;33.967666666666666;7.9816666666666665;31.581333333333337;56.535666666666664;104.66333333333334;154.34466666666668;41.87533333333333;5.137666666666666
Valle d'Aosta/Vallée d'Aoste;73.80933333333334;1690.4573333333333;1.4505555555555556;148.23333333333332;68.19233333333334;38.44166666666667;6.269333333333334;31.632333333333335;43.68666666666666;84.40466666666666;119.80133333333333;79.27933333333334;5.712666666666666
Vorarlberg;82.868;1632.8823333333335;1.165925925925926;117.25433333333334;53.48799999999999;47.547000000000004;6.6546666666666665;29.194666666666667;40.00466666666667;72.76966666666667;72.33166666666666;213.99266666666665;0.5727777777777778
Voreio Aigaio;89.14666666666668;1740.3623333333335;0.7594444444444445;189.5836666666667;42.14333333333333;24.685;3.3106666666666666;25.978333333333335;27.988;92.355;14.486296296296295;46.57866666666666;1.4544444444444444
Warszawski stoleczny;67.09666666666666;2008.15125;1.625;159.90541666666667;39.306666666666665;34.295;7.915;36.93666666666667;59.632083333333334;114.37124999999999;4.11125;129.81125;0.13285714285714287
Wien;73.99466666666667;1836.9336666666666;1.4716666666666667;100.58666666666666;78.54166666666667;71.23366666666668;7.188666666666666;36.919333333333334;51.56066666666666;97.22966666666666;39.882666666666665;325.781;0.4118518518518519
Zahodna Slovenija;79.91583333333334;1721.6070833333333;1.5079166666666666;170.245;37.62083333333333;31.02;10.50625;36.72708333333333;59.84291666666667;99.91125;18.741666666666667;87.88708333333334;0.6622222222222223
Zeeland;64.30466666666666;1669.3736666666666;2.0989999999999998;116.34533333333334;60.726;31.535666666666668;7.934;31.108333333333334;53.44866666666667;93.764;146.551;41.14533333333333;3.981666666666667
Zentralschweiz;55.548;1580.5546666666667;2.765333333333333;88.96266666666666;44.985;31.198;7.156000000000001;29.836666666666666;39.51733333333333;60.373666666666665;136.36133333333333;156.71066666666667;9.355333333333334
Zuid-Holland;66.78533333333333;1811.3839999999998;1.7036666666666667;117.45233333333334;83.58433333333333;35.47066666666667;8.211666666666666;32.963;56.811;113.40833333333333;159.70133333333334;42.318333333333335;4.8886666666666665
Zuid-Nederland;67.33366666666667;1873.9556666666665;1.3046666666666666;130.50433333333334;90.51433333333333;32.75266666666666;7.016666666666667;31.459333333333333;59.17733333333333;120.59833333333334;168.114;48.024;4.238
Zürich;57.63666666666666;1558.0963333333334;1.5953333333333333;90.24966666666666;44.87566666666667;28.504666666666665;6.595666666666667;31.094333333333335;38.936;67.801;151.864;137.45;9.946333333333333
Área Metropolitana de Lisboa;92.82;1758.4013333333335;2.4626666666666663;205.439;42.74333333333333;70.45366666666668;4.407;29.772333333333336;64.179;64.515;60.89866666666667;70.42;1.6280000000000001
Åland;193.84433333333334;1720.0596666666668;8.928333333333335;155.147;64.914;12.481333333333334;8.999166666666666;20.170666666666666;59.92266666666667;78.714;60.39666666666667;132.37033333333335;7.3999999999999995
