code;city;NUTS;City;Average Concentration;Pollutant;Number of Records;Number of Cities;UnitOfMeasurement
PT30;Região Autónoma da Madeira (PT);PT30;Funchal;2.621576003322009;SO2;8769;8784;µg/m3
PT30;Região Autónoma da Madeira (PT);PT30;Funchal;15.81935759134122;PM10;17559;17568;µg/m3
PT30;Região Autónoma da Madeira (PT);PT30;Funchal;72.2295142457866;O3;8667;8784;µg/m3
PT30;Região Autónoma da Madeira (PT);PT30;Funchal;21.84691632129827;NO2;17544;17568;µg/m3
PT30;Região Autónoma da Madeira (PT);PT30;Funchal;0.1200847013189685;CO;8772;8784;µg/m3
PT30;Região Autónoma da Madeira (PT);PT30;Funchal;21.80416048877923;NO;8773;8785;µg/m3
ITF2;Molise;ITF2;Campobasso;3.5625274715289312;SO2;7829;8784;µg/m3
ITF2;Molise;ITF2;Campobasso;15.6;PM10;50;366;µg/m3
ITF2;Molise;ITF2;Campobasso;55.68320508592009;O3;14597;17568;µg/m3
ITF2;Molise;ITF2;Campobasso;17.139802302357594;NO2;20652;26352;µg/m3
ITF2;Molise;ITF2;Campobasso;7.245554513179396;NO;20652;26352;µg/m3
ES23;La Rioja;ES23;Logroño;3.2141906832536145;SO2;8569;8784;µg/m3
ES23;La Rioja;ES23;Logroño;20.690154238375097;PM10;8623;8784;µg/m3
ES23;La Rioja;ES23;Logroño;47.9671645301623;O3;8503;8784;µg/m3
ES23;La Rioja;ES23;Logroño;14.65487221186922;NO2;8569;8784;µg/m3
ES23;La Rioja;ES23;Logroño;0.3369272363935612;CO;8507;8784;µg/m3
ES23;La Rioja;ES23;Logroño;6.445984421384467;NO;8218;8784;µg/m3
CH07;Ticino;CH07;Lugano;1.8332898507053923;SO2;8761;8784;µg/m3
CH07;Ticino;CH07;Lugano;16.035262428005453;PM10;732;732;µg/m3
CH07;Ticino;CH07;Lugano;54.09726771876606;O3;17520;17568;µg/m3
CH07;Ticino;CH07;Lugano;20.002353352880583;NO2;17503;17568;µg/m3
CH07;Ticino;CH07;Lugano;0.2927593455299767;CO;8774;8784;µg/m3
CH07;Ticino;CH07;Lugano;7.2383808008575645;NO;17503;17568;µg/m3
PT15;Algarve;PT15;Faro;13.632518086484817;PM10;6910;8784;µg/m3
PT15;Algarve;PT15;Faro;58.00473893255696;O3;8293;8784;µg/m3
PT15;Algarve;PT15;Faro;7.511390823940449;NO2;8024;8784;µg/m3
PT15;Algarve;PT15;Faro;2.0136714840267644;NO;8024;8784;µg/m3
BE35;Prov. Namur;BE35;Namur;16.80771435715037;PM10;8670;8784;µg/m3
BE35;Prov. Namur;BE35;Namur;46.87431178228724;O3;6357;8784;µg/m3
BE35;Prov. Namur;BE35;Namur;17.219476574366166;NO2;8559;8784;µg/m3
MT00;Malta;MT00;Valletta;0.5900428387750557;SO2;8637;8784;µg/m3
MT00;Malta;MT00;Valletta;34.53852602306852;PM10;365;366;µg/m3
MT00;Malta;MT00;Valletta;62.512136806792064;O3;8742;8784;µg/m3
MT00;Malta;MT00;Valletta;24.30176113478616;NO2;8574;8784;µg/m3
MT00;Malta;MT00;Valletta;0.3177322467264316;CO;8590;8784;µg/m3
MT00;Malta;MT00;Valletta;15.4171661776734;NO;8575;8784;µg/m3
DEB2;Trier;DEB2;Trier;1.0241156056213971;SO2;8763;8784;µg/m3
DEB2;Trier;DEB2;Trier;14.749502290959288;PM10;8621;8784;µg/m3
DEB2;Trier;DEB2;Trier;21.92290026052064;NO2;8777;8810;µg/m3
DEB2;Trier;DEB2;Trier;0.2626373748162946;CO;8764;8784;µg/m3
DEB2;Trier;DEB2;Trier;12.113203481522572;NO;8751;8784;µg/m3
ITH2;Provincia Autonoma di Trento;ITH2;Trento;2.0815005707068703;SO2;8730;8784;µg/m3
ITH2;Provincia Autonoma di Trento;ITH2;Trento;20.030261348005503;PM10;727;732;µg/m3
ITH2;Provincia Autonoma di Trento;ITH2;Trento;45.24092905015022;O3;8654;8784;µg/m3
ITH2;Provincia Autonoma di Trento;ITH2;Trento;32.73801076739239;NO2;17454;17568;µg/m3
ITH2;Provincia Autonoma di Trento;ITH2;Trento;0.677439652132468;CO;8741;8784;µg/m3
AT32;Salzburg;AT32;Salzburg;1.7953810698714705;SO2;8402;8784;µg/m3
AT32;Salzburg;AT32;Salzburg;13.405373668523472;PM10;26614;26695;µg/m3
AT32;Salzburg;AT32;Salzburg;50.49247334931952;O3;16700;17568;µg/m3
AT32;Salzburg;AT32;Salzburg;21.244787899252422;NO2;25193;26352;µg/m3
AT32;Salzburg;AT32;Salzburg;0.2533538683817266;CO;16808;17568;µg/m3
AT32;Salzburg;AT32;Salzburg;5.707083384135947;NO;16789;17568;µg/m3
AT21;Kärnten;AT21;Klagenfurt;1.0649789580110274;SO2;8517;8784;µg/m3
AT21;Kärnten;AT21;Klagenfurt;16.81105189967626;PM10;17340;17568;µg/m3
AT21;Kärnten;AT21;Klagenfurt;41.69829233434908;O3;14148;14881;µg/m3
AT21;Kärnten;AT21;Klagenfurt;20.495891136781488;NO2;33568;35136;µg/m3
AT21;Kärnten;AT21;Klagenfurt;0.2847207898333926;CO;8463;8784;µg/m3
AT21;Kärnten;AT21;Klagenfurt;10.126376063462798;NO;8404;8784;µg/m3
NL11;Groningen;NL11;Groningen;19.128118399513976;PM10;8716;8784;µg/m3
NL11;Groningen;NL11;Groningen;52.96533433520449;O3;8614;8784;µg/m3
NL11;Groningen;NL11;Groningen;13.968458305628056;NO2;17390;17568;µg/m3
NL11;Groningen;NL11;Groningen;5.927934442996617;NO;17390;17568;µg/m3
DK05;Nordjylland;DK05;Aalborg;0.8709559337044321;SO2;8147;8784;µg/m3
DK05;Nordjylland;DK05;Aalborg;58.94630988149835;O3;7961;8784;µg/m3
DK05;Nordjylland;DK05;Aalborg;13.253374849288443;NO2;16161;17568;µg/m3
DK05;Nordjylland;DK05;Aalborg;0.1904812324245017;CO;8179;8784;µg/m3
DK05;Nordjylland;DK05;Aalborg;7.311857283431329;NO;17034;17568;µg/m3
LU00;Luxembourg;LU00;Luxembourg;1.95788748048751;SO2;7981;8784;µg/m3
LU00;Luxembourg;LU00;Luxembourg;17.73144570663803;PM10;17341;17933;µg/m3
LU00;Luxembourg;LU00;Luxembourg;49.55691295665453;O3;8513;8784;µg/m3
LU00;Luxembourg;LU00;Luxembourg;22.742917708115925;NO2;16746;17568;µg/m3
LU00;Luxembourg;LU00;Luxembourg;0.2116216216216113;CO;16613;17568;µg/m3
LU00;Luxembourg;LU00;Luxembourg;9.7999462527907;NO;16746;17568;µg/m3
DE50;Bremen;DE50;Bremen;1.13869741316493;SO2;43429;43920;µg/m3
DE50;Bremen;DE50;Bremerhaven;1.13869741316493;SO2;43429;43920;µg/m3
DE50;Bremen;DE50;Bremen;16.114138197939695;PM10;61215;61488;µg/m3
DE50;Bremen;DE50;Bremerhaven;16.114138197939695;PM10;61215;61488;µg/m3
DE50;Bremen;DE50;Bremen;46.45767224248777;O3;41757;43920;µg/m3
DE50;Bremen;DE50;Bremerhaven;46.45767224248777;O3;41757;43920;µg/m3
DE50;Bremen;DE50;Bremen;20.409317635002367;NO2;61082;61488;µg/m3
DE50;Bremen;DE50;Bremerhaven;20.409317635002367;NO2;61082;61488;µg/m3
DE50;Bremen;DE50;Bremen;0.2440162043659355;CO;34682;35136;µg/m3
DE50;Bremen;DE50;Bremerhaven;0.2440162043659355;CO;34682;35136;µg/m3
DE50;Bremen;DE50;Bremen;8.845000324913803;NO;61076;61488;µg/m3
DE50;Bremen;DE50;Bremerhaven;8.845000324913803;NO;61076;61488;µg/m3
SK01;Bratislavský kraj;SK01;Bratislava;2.517614968003552;SO2;16930;16930;µg/m3
SK01;Bratislavský kraj;SK01;Bratislava;20.55912542847054;PM10;34669;34669;µg/m3
SK01;Bratislavský kraj;SK01;Bratislava;54.65224083613988;O3;16856;16856;µg/m3
SK01;Bratislavský kraj;SK01;Bratislava;19.042966475315087;NO2;25294;25294;µg/m3
SK01;Bratislavský kraj;SK01;Bratislava;0.3175925034250174;CO;8362;8362;µg/m3
HR05;Grad Zagreb;HR05;Zagreb;2.2860922706871705;SO2;8193;8783;µg/m3
HR05;Grad Zagreb;HR05;Zagreb;25.479143439016383;PM10;732;732;µg/m3
HR05;Grad Zagreb;HR05;Zagreb;43.206774948948826;O3;8496;8783;µg/m3
HR05;Grad Zagreb;HR05;Zagreb;27.852900991320045;NO2;16181;17566;µg/m3
HR05;Grad Zagreb;HR05;Zagreb;0.412673383000724;CO;8288;8783;µg/m3
LT01;Sostines regionas;LT01;Vilnius;7.988992302951516;SO2;17287;17568;µg/m3
LT01;Sostines regionas;LT01;Vilnius;25.086191974349347;PM10;25378;26352;µg/m3
LT01;Sostines regionas;LT01;Vilnius;42.05053113074969;O3;17039;17568;µg/m3
LT01;Sostines regionas;LT01;Vilnius;17.12331698611327;NO2;25698;26352;µg/m3
LT01;Sostines regionas;LT01;Vilnius;0.3005049557093472;CO;17051;17568;µg/m3
ITI2;Umbria;ITI2;Milano;2.9996661640135813;SO2;41865;43920;µg/m3
ITI2;Umbria;ITI2;Perugia;2.9996661640135813;SO2;41865;43920;µg/m3
ITI2;Umbria;ITI2;Milano;28.540624140046692;PM10;4925;5124;µg/m3
ITI2;Umbria;ITI2;Perugia;28.540624140046692;PM10;4925;5124;µg/m3
ITI2;Umbria;ITI2;Terni;28.540624140046692;PM10;4925;5124;µg/m3
ITI2;Umbria;ITI2;Milano;48.55849589542954;O3;66250;70272;µg/m3
ITI2;Umbria;ITI2;Perugia;48.55849589542954;O3;66250;70272;µg/m3
ITI2;Umbria;ITI2;Terni;48.55849589542954;O3;66250;70272;µg/m3
ITI2;Umbria;ITI2;Milano;31.244788174822475;NO2;173849;184464;µg/m3
ITI2;Umbria;ITI2;Perugia;31.244788174822475;NO2;173849;184464;µg/m3
ITI2;Umbria;ITI2;Terni;31.244788174822475;NO2;173849;184464;µg/m3
ITI2;Umbria;ITI2;Milano;0.703890750778632;CO;83392;87840;µg/m3
ITI2;Umbria;ITI2;Perugia;0.703890750778632;CO;83392;87840;µg/m3
ITI2;Umbria;ITI2;Terni;0.703890750778632;CO;83392;87840;µg/m3
ITI2;Umbria;ITI2;Perugia;12.337148088598903;NO;49125;52704;µg/m3
ITI2;Umbria;ITI2;Terni;12.337148088598903;NO;49125;52704;µg/m3
PL52;Opolskie;PL52;Opole;3.634094030945525;SO2;8757;8763;µg/m3
PL52;Opolskie;PL52;Opole;23.15818084962167;PM10;9120;9121;µg/m3
PL52;Opolskie;PL52;Opole;48.25952157809365;O3;8760;8763;µg/m3
PL52;Opolskie;PL52;Opole;13.897800959133727;NO2;8704;8763;µg/m3
PL52;Opolskie;PL52;Opole;2.8121608855255484;NO;8705;8763;µg/m3
DEC0;Saarland;DEC0;Saarbrücken;1.8147364194614948;SO2;8783;8784;µg/m3
DEC0;Saarland;DEC0;Saarbrücken;13.681933127193808;PM10;26320;26352;µg/m3
DEC0;Saarland;DEC0;Saarbrücken;47.71043044342679;O3;35103;35136;µg/m3
DEC0;Saarland;DEC0;Saarbrücken;19.739460209844975;NO2;35125;35136;µg/m3
DEC0;Saarland;DEC0;Saarbrücken;0.3709611218697931;CO;8771;8784;µg/m3
DEC0;Saarland;DEC0;Saarbrücken;10.802630392069831;NO;35124;35136;µg/m3
SI04;Zahodna Slovenija;SI04;Ljubljana;3.0279304543721186;SO2;8369;8784;µg/m3
SI04;Zahodna Slovenija;SI04;Ljubljana;20.76320939334638;PM10;1022;1035;µg/m3
SI04;Zahodna Slovenija;SI04;Ljubljana;41.058716084077375;O3;8404;8784;µg/m3
SI04;Zahodna Slovenija;SI04;Ljubljana;21.456451511870007;NO2;13231;13848;µg/m3
SI04;Zahodna Slovenija;SI04;Ljubljana;0.3499690364380374;CO;8397;8784;µg/m3
DE72;Gießen;DE72;Wetzlar;0.918340679244112;SO2;8759;8784;µg/m3
DE72;Gießen;DE72;Gießen;14.533547396397934;PM10;35121;35258;µg/m3
DE72;Gießen;DE72;Marburg;14.533547396397934;PM10;35121;35258;µg/m3
DE72;Gießen;DE72;Wetzlar;14.533547396397934;PM10;35121;35258;µg/m3
DE72;Gießen;DE72;Marburg;42.626983001855;O3;17525;17568;µg/m3
DE72;Gießen;DE72;Wetzlar;42.626983001855;O3;17525;17568;µg/m3
DE72;Gießen;DE72;Gießen;25.666134585668853;NO2;35082;35175;µg/m3
DE72;Gießen;DE72;Marburg;25.666134585668853;NO2;35082;35175;µg/m3
DE72;Gießen;DE72;Wetzlar;25.666134585668853;NO2;35082;35175;µg/m3
DE72;Gießen;DE72;Gießen;0.3240427368417746;CO;17532;17568;µg/m3
DE72;Gießen;DE72;Marburg;0.3240427368417746;CO;17532;17568;µg/m3
DE72;Gießen;DE72;Gießen;17.132456465612332;NO;35035;35136;µg/m3
DE72;Gießen;DE72;Marburg;17.132456465612332;NO;35035;35136;µg/m3
DE72;Gießen;DE72;Wetzlar;17.132456465612332;NO;35035;35136;µg/m3
DED5;Leipzig;DED5;Leipzig;1.7674200749611115;SO2;8746;8784;µg/m3
DED5;Leipzig;DED5;Leipzig;15.546191982930353;PM10;26330;27450;µg/m3
DED5;Leipzig;DED5;Leipzig;46.915416539497386;O3;16224;26352;µg/m3
DED5;Leipzig;DED5;Leipzig;22.47775032100505;NO2;26182;26352;µg/m3
DED5;Leipzig;DED5;Leipzig;15.267904053255291;NO;26182;26352;µg/m3
DE24;Oberfranken;DE24;Bamberg;15.231560691048283;PM10;17442;17568;µg/m3
DE24;Oberfranken;DE24;Bayreuth;15.231560691048283;PM10;17442;17568;µg/m3
DE24;Oberfranken;DE24;Bamberg;20.022763379544124;NO2;17507;17568;µg/m3
DE24;Oberfranken;DE24;Bayreuth;20.022763379544124;NO2;17507;17568;µg/m3
DE24;Oberfranken;DE24;Bamberg;10.216259626460245;NO;17507;17568;µg/m3
DE24;Oberfranken;DE24;Bayreuth;10.216259626460245;NO;17507;17568;µg/m3
CZ04;Severozápad;CZ04;Ústí nad Labem;5.532376707372983;SO2;9652;10223;µg/m3
CZ04;Severozápad;CZ04;Karlovy Vary;20.13107302956364;PM10;35246;35497;µg/m3
CZ04;Severozápad;CZ04;Most;20.13107302956364;PM10;35246;35497;µg/m3
CZ04;Severozápad;CZ04;Ústí nad Labem;20.13107302956364;PM10;35246;35497;µg/m3
CZ04;Severozápad;CZ04;Most;51.96176821610374;O3;18414;19006;µg/m3
CZ04;Severozápad;CZ04;Ústí nad Labem;51.96176821610374;O3;18414;19006;µg/m3
CZ04;Severozápad;CZ04;Most;19.656451414349124;NO2;33078;35132;µg/m3
CZ04;Severozápad;CZ04;Ústí nad Labem;19.656451414349124;NO2;33078;35132;µg/m3
CZ04;Severozápad;CZ04;Ústí nad Labem;0.3861242194851907;CO;8314;8783;µg/m3
CZ04;Severozápad;CZ04;Most;10.92733373454974;NO;33080;35132;µg/m3
CZ04;Severozápad;CZ04;Ústí nad Labem;10.92733373454974;NO;33080;35132;µg/m3
BE33;Prov. Liège;BE33;Liège;2.589235459662289;SO2;8528;8784;µg/m3
BE33;Prov. Liège;BE33;Liège;14.476397262031943;PM10;34993;35136;µg/m3
BE33;Prov. Liège;BE33;Liège;49.66904591958125;O3;16812;17568;µg/m3
BE33;Prov. Liège;BE33;Liège;16.65737774285196;NO2;16543;17568;µg/m3
BE33;Prov. Liège;BE33;Liège;0.2041165503969243;CO;8314;8784;µg/m3
DE23;Oberpfalz;DE23;Regensburg;17.653149494516338;PM10;8693;8784;µg/m3
DE23;Oberpfalz;DE23;Regensburg;29.56030949853216;NO2;8693;8784;µg/m3
DE23;Oberpfalz;DE23;Regensburg;0.3007471150966189;CO;8694;8784;µg/m3
DE23;Oberpfalz;DE23;Regensburg;23.723437592205308;NO;8693;8784;µg/m3
NL42;Limburg (NL);NL42;Heerlen;15.754112578207463;PM10;17303;17568;µg/m3
NL42;Limburg (NL);NL42;Heerlen;54.563937467026136;O3;8668;8784;µg/m3
NL42;Limburg (NL);NL42;Heerlen;15.271429473893027;NO2;17342;17568;µg/m3
NL42;Limburg (NL);NL42;Heerlen;5.231943257041305;NO;17342;17568;µg/m3
CZ08;Moravskoslezsko;CZ08;Karviná;6.639260363547752;SO2;50728;52207;µg/m3
CZ08;Moravskoslezsko;CZ08;Ostrava;6.639260363547752;SO2;50728;52207;µg/m3
CZ08;Moravskoslezsko;CZ08;Karviná;21.73316050814181;PM10;77535;77732;µg/m3
CZ08;Moravskoslezsko;CZ08;Ostrava;21.73316050814181;PM10;77535;77732;µg/m3
CZ08;Moravskoslezsko;CZ08;Karviná;50.44869353377003;O3;33717;34667;µg/m3
CZ08;Moravskoslezsko;CZ08;Ostrava;50.44869353377003;O3;33717;34667;µg/m3
CZ08;Moravskoslezsko;CZ08;Karviná;17.074978812889174;NO2;75528;77278;µg/m3
CZ08;Moravskoslezsko;CZ08;Ostrava;17.074978812889174;NO2;75528;77278;µg/m3
CZ08;Moravskoslezsko;CZ08;Ostrava;0.3674492299062626;CO;25709;26133;µg/m3
CZ08;Moravskoslezsko;CZ08;Karviná;5.755051700846328;NO;75529;77279;µg/m3
CZ08;Moravskoslezsko;CZ08;Ostrava;5.755051700846328;NO;75529;77279;µg/m3
CH03;Nordwestschweiz;CH03;Basel;0.9821914713573048;SO2;8760;8784;µg/m3
CH03;Nordwestschweiz;CH03;Basel;14.215779771674162;PM10;890;1098;µg/m3
CH03;Nordwestschweiz;CH03;Basel;50.41785420117463;O3;17539;17568;µg/m3
CH03;Nordwestschweiz;CH03;Basel;23.611860865932226;NO2;26082;26352;µg/m3
CH03;Nordwestschweiz;CH03;Basel;11.316318513036322;NO;26081;26352;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Bolzano;0.9731748165037136;SO2;16037;17568;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Trieste;0.9731748165037136;SO2;16037;17568;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Bolzano;18.345782908851422;PM10;52114;53802;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Pordenone;18.345782908851422;PM10;52114;53802;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Trieste;18.345782908851422;PM10;52114;53802;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Udine;18.345782908851422;PM10;52114;53802;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Bolzano;52.41373952551876;O3;32938;35136;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Trieste;52.41373952551876;O3;32938;35136;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Udine;52.41373952551876;O3;32938;35136;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Bolzano;23.779419095905737;NO2;74270;79056;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Pordenone;23.779419095905737;NO2;74270;79056;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Trieste;23.779419095905737;NO2;74270;79056;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Udine;23.779419095905737;NO2;74270;79056;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Bolzano;0.4197985698159239;CO;24500;26352;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Trieste;0.4197985698159239;CO;24500;26352;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Bolzano;13.154235453989816;NO;66093;70272;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Pordenone;13.154235453989816;NO;66093;70272;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Trieste;13.154235453989816;NO;66093;70272;µg/m3
ITH4;Friuli-Venezia Giulia;ITH4;Udine;13.154235453989816;NO;66093;70272;µg/m3
CZ07;Strední Morava;CZ07;Zlín;1.7889311933993353;SO2;7354;8783;µg/m3
CZ07;Strední Morava;CZ07;Olomouc;19.933430861083234;PM10;34178;34296;µg/m3
CZ07;Strední Morava;CZ07;Zlín;19.933430861083234;PM10;34178;34296;µg/m3
CZ07;Strední Morava;CZ07;Zlín;46.79782289400997;O3;17041;17566;µg/m3
CZ07;Strední Morava;CZ07;Olomouc;14.902625266885083;NO2;25445;26349;µg/m3
CZ07;Strední Morava;CZ07;Zlín;14.902625266885083;NO2;25445;26349;µg/m3
CZ07;Strední Morava;CZ07;Olomouc;4.7708305475972494;NO;25441;26349;µg/m3
CZ07;Strední Morava;CZ07;Zlín;4.7708305475972494;NO;25441;26349;µg/m3
DE73;Kassel;DE73;Kassel;0.8731801898185134;SO2;8709;8784;µg/m3
DE73;Kassel;DE73;Fulda;16.24765048187014;PM10;35084;35258;µg/m3
DE73;Kassel;DE73;Kassel;16.24765048187014;PM10;35084;35258;µg/m3
DE73;Kassel;DE73;Fulda;47.69658685325398;O3;17362;17568;µg/m3
DE73;Kassel;DE73;Kassel;47.69658685325398;O3;17362;17568;µg/m3
DE73;Kassel;DE73;Fulda;23.689523259862348;NO2;35015;35136;µg/m3
DE73;Kassel;DE73;Kassel;23.689523259862348;NO2;35015;35136;µg/m3
DE73;Kassel;DE73;Fulda;0.3069663504723585;CO;17529;17568;µg/m3
DE73;Kassel;DE73;Kassel;0.3069663504723585;CO;17529;17568;µg/m3
DE73;Kassel;DE73;Fulda;14.36978963847856;NO;35012;35136;µg/m3
DE73;Kassel;DE73;Kassel;14.36978963847856;NO;35012;35136;µg/m3
DE26;Unterfranken;DE26;Schweinfurt;14.93736018966978;PM10;26186;26352;µg/m3
DE26;Unterfranken;DE26;Würzburg;14.93736018966978;PM10;26186;26352;µg/m3
DE26;Unterfranken;DE26;Aschaffenburg;46.122924776068366;O3;26237;26352;µg/m3
DE26;Unterfranken;DE26;Schweinfurt;46.122924776068366;O3;26237;26352;µg/m3
DE26;Unterfranken;DE26;Würzburg;46.122924776068366;O3;26237;26352;µg/m3
DE26;Unterfranken;DE26;Aschaffenburg;22.100180135102487;NO2;26281;26352;µg/m3
DE26;Unterfranken;DE26;Schweinfurt;22.100180135102487;NO2;26281;26352;µg/m3
DE26;Unterfranken;DE26;Würzburg;22.100180135102487;NO2;26281;26352;µg/m3
DE26;Unterfranken;DE26;Würzburg;0.2770238051421072;CO;8761;8784;µg/m3
DE26;Unterfranken;DE26;Aschaffenburg;9.569260758480551;NO;26281;26352;µg/m3
DE26;Unterfranken;DE26;Schweinfurt;9.569260758480551;NO;26281;26352;µg/m3
DE26;Unterfranken;DE26;Würzburg;9.569260758480551;NO;26281;26352;µg/m3
BE32;Prov. Hainaut;BE32;Charleroi;15.773411485994917;PM10;26121;26352;µg/m3
BE32;Prov. Hainaut;BE32;Charleroi;44.64779270633397;O3;8336;8784;µg/m3
BE32;Prov. Hainaut;BE32;Charleroi;18.938677860623496;NO2;17033;17568;µg/m3
BE32;Prov. Hainaut;BE32;Charleroi;0.2212224437077877;CO;8528;8784;µg/m3
NL31;Utrecht;NL31;Utrecht;16.42561668846612;PM10;17302;17568;µg/m3
NL31;Utrecht;NL31;Utrecht;46.70038797715441;O3;25826;26352;µg/m3
NL31;Utrecht;NL31;Utrecht;18.97249510288612;NO2;26055;26352;µg/m3
NL31;Utrecht;NL31;Utrecht;6.064454633665913;NO;26056;26352;µg/m3
DED4;Chemnitz;DED4;Chemnitz;14.31791385433954;PM10;27234;27816;µg/m3
DED4;Chemnitz;DED4;Plauen;14.31791385433954;PM10;27234;27816;µg/m3
DED4;Chemnitz;DED4;Zwickau;14.31791385433954;PM10;27234;27816;µg/m3
DED4;Chemnitz;DED4;Chemnitz;52.5148784622259;O3;13379;17568;µg/m3
DED4;Chemnitz;DED4;Plauen;52.5148784622259;O3;13379;17568;µg/m3
DED4;Chemnitz;DED4;Chemnitz;18.21297586647733;NO2;34853;35136;µg/m3
DED4;Chemnitz;DED4;Plauen;18.21297586647733;NO2;34853;35136;µg/m3
DED4;Chemnitz;DED4;Zwickau;18.21297586647733;NO2;34853;35136;µg/m3
DED4;Chemnitz;DED4;Chemnitz;12.11632596632688;NO;34853;35136;µg/m3
DED4;Chemnitz;DED4;Plauen;12.11632596632688;NO;34853;35136;µg/m3
DED4;Chemnitz;DED4;Zwickau;12.11632596632688;NO;34853;35136;µg/m3
ITI3;Marche;ITI3;Ancona;3.849223065360104;SO2;17183;17568;µg/m3
ITI3;Marche;ITI3;Ancona;23.12901644219436;PM10;31620;35136;µg/m3
ITI3;Marche;ITI3;Pesaro;23.12901644219436;PM10;31620;35136;µg/m3
ITI3;Marche;ITI3;Ancona;48.37822290015718;O3;16949;17568;µg/m3
ITI3;Marche;ITI3;Pesaro;48.37822290015718;O3;16949;17568;µg/m3
ITI3;Marche;ITI3;Ancona;20.95836219232618;NO2;25119;26352;µg/m3
ITI3;Marche;ITI3;Pesaro;20.95836219232618;NO2;25119;26352;µg/m3
ITI3;Marche;ITI3;Ancona;0.6859384124023504;CO;25687;26352;µg/m3
ITI3;Marche;ITI3;Pesaro;0.6859384124023504;CO;25687;26352;µg/m3
DEB1;Koblenz;DEB1;Koblenz;1.07278550344596;SO2;8677;8784;µg/m3
DEB1;Koblenz;DEB1;Koblenz;15.15440725249033;PM10;8248;8784;µg/m3
DEB1;Koblenz;DEB1;Koblenz;40.679039497861815;O3;8685;8784;µg/m3
DEB1;Koblenz;DEB1;Koblenz;30.21209896411407;NO2;17684;17823;µg/m3
DEB1;Koblenz;DEB1;Koblenz;0.2352318319183297;CO;8669;8784;µg/m3
DEB1;Koblenz;DEB1;Koblenz;16.333868355835204;NO;17433;17568;µg/m3
ITC3;Liguria;ITC3;La Spezia;3.89561693457896;SO2;33253;35136;µg/m3
ITC3;Liguria;ITC3;Sanremo;3.89561693457896;SO2;33253;35136;µg/m3
